Clases,Caracteristica 1,Caracteristica 2,Caracteristica 3,Caracteristica 4,Caracteristica 5,Caracteristica 6,Caracteristica 7
2,0.007050346126836044,3.410145974041694e-05,3.320921553059936e-07,4.899992933624625e-07,1.9639347832935105e-13,2.8584319583035908e-09,-2.2354923789023276e-14
2,0.006498985389003948,2.892046160512339e-05,2.608666600968043e-07,3.8689395766639576e-07,1.221300981113321e-13,2.0779721154740936e-09,-1.3849271594682545e-14
2,0.006633545213566996,3.0204422224097398e-05,2.7542191190401615e-07,4.081342439407657e-07,1.3600579671769173e-13,2.2404769767949306e-09,-1.5060200496202322e-14
2,0.00646794005961231,2.924509540079844e-05,2.5614027131447797e-07,3.7764010631673765e-07,1.168584539978699e-13,2.0406660821908793e-09,-1.1781332050676274e-14
2,0.007101565684048913,3.4824443199889194e-05,3.384350477930887e-07,5.026619318494813e-07,2.0611333826291533e-13,2.964200791276851e-09,-2.238179144271288e-14
2,0.00635851240822517,2.7457639798523702e-05,2.4205237989100743e-07,3.6272985880613415e-07,1.0673615442097497e-13,1.8986255272567666e-09,-1.262731671044157e-14
2,0.00676004052036986,3.295592566149836e-05,3.1412178399400176e-07,4.4468260896819023e-07,1.655754773762822e-13,2.5505565051863795e-09,-1.4364524891689525e-14
2,0.006661255816903764,3.0573050978697257e-05,2.7719052884202573e-07,4.1484078074686876e-07,1.3987724461402497e-13,2.2913195843512948e-09,-1.4943387533015605e-14
2,0.006029189215496325,2.5558790357662287e-05,2.1517538718817202e-07,3.1382041124865557e-07,8.115638025933444e-14,1.5849035147845325e-09,-7.991502827272916e-15
2,0.006445394887718517,2.8977009870215116e-05,2.5515380545036566e-07,3.749234949685882e-07,1.1536242474697541e-13,2.016138285725412e-09,-1.1775137527401515e-14
2,0.006573732408990238,2.9304311790016683e-05,2.706618898728262e-07,4.06852834254817e-07,1.3414572745687086e-13,2.199964527933729e-09,-1.5262016505984402e-14
2,0.006612133557346839,3.036635642572584e-05,2.746480866975836e-07,4.071234050418592e-07,1.3540921648091547e-13,2.2411258769841172e-09,-1.4061679675796134e-14
2,0.006558966697715072,3.0212101630998432e-05,2.762891801086624e-07,4.000930232031431e-07,1.3238194635320832e-13,2.1970013975721382e-09,-1.3033315083564476e-14
2,0.006645232822591009,3.07743632905412e-05,2.792186347838898e-07,4.1654776168273046e-07,1.413365509750076e-13,2.308393065474201e-09,-1.4310822259912233e-14
